Query,Response
"Please explain Section 9 of Chapter XXXV of Code of Criminal Procedure, 1899 (Warrant to search suspected Place of Deposit).","To (name and designation of a Police-Officer above the rank of a Constable) WHEREAS information has been laid before me, and on due inquiry thereupon had I have been led to believe that the (describe the house or other place) is, used as a place for the deposit (or sale) of stolen property (or if for either of the other purposes expressed in the section, state the purpose in the words of the section);- This is to authorize and require you to enter the said house (or other place) with such assistance as shall be required, and to use if necessary, reasonable force for that purpose, and to search every part of the said house (or other place or if the search is to be confined to a part, specify the part clearly) and to seize and take possession of any property (or documents, or stamps, or seals, or coins or obscene objects, as the case may be) Add (when the case requires it) and also of any instruments and materials which you may reasonably believe to be kept for the manufacture of forged documents, or counterfeit stamps, or false seals, or counterfeit coin (as the case may be), and forthwith to bring before this Court such of the said things as may be taken possession of returning this warrant, with an endorsement certifying what you have done under it, immediately upon its execution. Given under my hand and the seal of the Court, this day of ,19 (Seal) (Signature)"
"Please explain Section 10 of Chapter XXXV of Code of Criminal Procedure, 1900 (Bond to keep the peace).","WHEREAS I (name) inhabitant of (place), have been called upon to enter into a bound to keep the peace for the term of or until the completion of the inquiry in the matter of now pending in the Court of I hereby bind myself not to commit a breach of the peace, or do any act that may probably occasion a breach of the peace, during the said term or until the completion of the said inquiry, and in case of my making default therein, I hereby bind myself to forfeit to Government the sum of rupees .. Dated this day of ,19 (Signature)"
"Section 11 of Chapter XXXV in Code of Criminal Procedure, 1901 (Bond for Good Behaviour): What does it say?","WHEREAS I (name) inhabitant of (place), have been called upon to enter into a bond to be of good behaviour to Government and to all the citizens of Pakistan for the term of (state the period) or until the completion of the inquiry in the matter of . now pending in the Court of . I hereby bind myself to be of good behaviour to Government and to all the citizens of Pakistan during the said term or until the completion of the said inquiry; and in case of my making default therein, I bind myself to forfeit to Government the sum of rupees . Dated this day of ,19 (Signature) (Where bond with sureties is to be executed, add "" We do not hereby declare ourselves sureties for the above named that he will be of good behaviour to Government and to all the citizens of Pakistan during the said term or until the completion of the said inquiry; and in the case of his making default therein, we bind ourselves, jointly and severally, to forfeit to Government the sum of rupees Dated this day of ,19 (Signature)"
"Could you describe the contents of Section 12 from Code of Criminal Procedure, 1902 (Summons on information of probable Breach of the Peace)?","WHEREAS it has been made to appear to me by credible information that {state the substance of the information}, and that you are likely to commit a breach of the peace (or by which act a breach of the peace will probably be occasioned), you are hereby required to attend in person (or by a duly authorized agent) at the office of the Magistrate of on the day of ,19 at ten o'clock in the forenoon, to show cause why you should not be required to enter into a bond for rupees when sureties are required, add and also to give sureties by the bond of one (or two, as the case may be) surety (or sureties) in the sum of rupees (each if more than one) that you will keep the peace for the term of Given under my hand and the seal of the Court this Day of ,19 . (Seal) (Signature)"
"What is Section 13 of Chapter XXXV of Code of Criminal Procedure, 1903 (Warrant of Commitment on Failure to find Security to keep the Peace) about?","To the Superintendent (or Keeper) of the Jail at . WHEREAS (name and address) appeared before me in person (or by his authorized agent) on the day of in obedience to a summons calling upon him to show cause why he should not enter into a bond for rupees with one surety or a bond with two sureties each in rupees , that he, the said (name), would keep the peace for the period of months; and whereas an order was then made requiring the said (name) to enter into and find such security (state the security ordered when it differs from that mentioned in the summons), and he has failed to comply with the said order; This is to authorize and require you, the said Superintendent (or Keeper), to receive the said (name), into your custody, together with this warrant, and him safely to keep in the said Jail for the said period of (term of imprisonment) unless he shall in the meantime be lawfully ordered to be released and to return this warrant with an endorsement certifying the manner of its execution. Given under my hand and the Court, this day of , 19. (Seal) (Signature)"
"Can you explain Section 14 of Chapter XXXV of Code of Criminal Procedure, 1904 (Warrant of commitment of Failure to find Security for Good Behaviour)?","To the Superintendent (or Keeper) of the Jail at .. Whereas it has been made to appear to me that (name and description) has been and is lurking within the district of having no ostensible means of subsistence (or, and that he is unable to give any satisfactory account of himself); - or Whereas evidence of the general character of (name and description) has been adduced before me and recorded, from which it appears that he is an habitual robber (or, housebreaker, etc., as the case may be); And Whereas an order has been recorded stating the same and requiring the said (name) to furnish security for his good behaviour for the term of (state the period) by entering into a bond with one surety (or two or more sureties, as the case may be), himself for rupees .., and the said surety (or each of the said sureties) for rupees .. , and the said (name) has failed to comply with the said order and for such default has been adjudged imprisonment for (state the term) unless the said security be sooner furnished; This is to authorize and require you, the said Superintendent (or Keeper) to receive the said (name) into your custody, together with this warrant, and him safely to keep in the said Jail for the said period of (term of imprisonment) unless he shall in the meantime be lawfully ordered to be released and to return this warrant with an endorsement certifying the manner of its execution. Given under my hand and the seal of the Court, this day of ,19. (Seal) (Signature)"
"Please explain Section 15 of Chapter XXXV of Code of Criminal Procedure, 1905 (Warrant to discharge a Person imprisoned on Failure to give security).","To the Superintendent (or Keeper) of the Jail at (or, other officer in whose custody the person is). WHEREAS (name and description of prisoner) was committed to your custody under warrant of the Court, dated the day . of .. and has since duly given security under section .. of the Code of Criminal Procedure; or and there have appeared to me sufficient grounds for the opinion that he can be released without hazard to the community; This is to authorize and require you forthwith to discharge the said (name) from your custody unless he is liable to be detained for some other cause. Given under my hand and the seal of the Court, this day of , 19 . (Seal) {Signature}"
"Give a brief explanation of Section 16 of Chapter XXXV in Code of Criminal Procedure, 1906 (Order for the Removal of Nuisances).","To (name, description and address). WHEREAS it has been made to appear to me that you have caused an obstruction for nuisance) to persons using the public roadway (or other public place) which, etc., (describe the road or public place), by, etc. (state what it is that causes the obstruction or nuisance), and that such obstruction (or nuisance still exists); or Whereas it has been made to appear to me that you are carrying on as owner, or manager, the trade or occupation of (state the particular trade or occupation and the place where it is carried on), and that the same is injurious to the public health (or comfort) by reason (state briefly in what manner the injurious effects are caused), and should be suppressed or removed to a different place; Whereas it has been made to appear to me that you are the owner (or are in possession of or have the control over) a certain tank (or well or excavation) adjacent to the public way, (describe the thoroughfare); and that the safety of the public is endangered by reason of the said tank (or well or excavation) being without a fence (or insecurely fenced); or Whereas, etc., etc. (as the case may be), I do hereby direct and require you within (state the time allowed) to (state what is required to be done to abate the nuisance) or to appear at in the Court of . on the day of next, and to show cause why this order should not be enforced. or I do hereby direct and require you within (state the time allowed) to cease carrying on the said trade or occupation at the said place, and not again to carry on the same, or to remove the say trade from the place where it is now carried on, or to appear, etc.; or I do hereby direct and require you within (state the time allowed) to put up a sufficient fence (state the kind of fence and the part to be fenced); or to appear etc.; or I do hereby direct and require you, etc., etc, (as the case may be). Given under my hand and the seal of the Court this day of ,19 . (Seal) (Signature)"
"What does Section 17 of Code of Criminal Procedure, 1907 (Magistrate's Order constituting a Jury) deal with?","WHEREAS on the day of ,19 an order was issued to (name) requiring him (state the effect of the order), and whereas the (name) has applied to me, by a petition, bearing date the day of for an order appointing a Jury to try whether the said recited order is reasonable and proper I do hereby appoint (the names, etc., of the five or more Jurors) to be the Jury to try and decide the said question, and do require the said Jury to report their decision within days from the date of this order at my office. Given under my hand and the seal of the Court, this day of, 19. (Seal) (Signature)"
"What is stated in Section 18 of Chapter XXXV of Code of Criminal Procedure, 1908 (Magistrate's Notice and Peremptory Order after the Finding by a Jury.)?","To (name, description and address): I hereby give you notice that the Jury duly appointed on the petition presented by you on the day of have found that the order issued on the day of requiring you (state substantially the requisition in the order) is reasonable and proper. Such order has been made absolute, and I hereby direct and require you to obey the said order within (state the time allowed), on peril of the penalty provided by the Pakistan Penal Code for disobedience thereto. Given under my hand and the seal of the Court, this day of , 19 . (Seal) . (Signature"
"What is stated in Section 19 of Chapter XXXV of Code of Criminal Procedure, 1909 (Injunction to provide against Imminent Danger pending Inquiry by Jury.)?","To (name, description and address). Whereas the inquiry by a Jury appointed to try whether my order issued on the day of , 19 , is reasonable and proper is still pending, and it has been made to appear to me that the nuisance mentioned in the said order is attended with so imminent serious danger to the public as to render necessary immediate measures to prevent such danger, I do hereby, under the provisions of Section 142 of the Code of Criminal Procedure, direct and enjoin you forthwith to (state plainly what is required to be done as a temporary safeguard), pending the result of the local inquiry by the Jury. Given under my hand and the seal of the Court, this day of , 19 . (Seal) (Signature)"
"Section 20 of Chapter XXXV in Code of Criminal Procedure, 1910 (Magistrate's Order Prohibiting the Repetition, etc. of a nuisance): What does it say?","To (name, description and address). Whereas it has been made to appear to me that, etc. (state the proper recital, guided by Form No. XVI or Form No- XXI, (as the case may be). I do hereby strictly order and adjoin you not to repeat the said nuisance by again placing or causing or permitting to be placed, etc. (as the case may be). Given under my hand and the seal of the Court, this day of , 19 . (Seal) (Signature)"
"Section 21 of Chapter XXXV in Code of Criminal Procedure, 1911 (Magistrate's Order to prevent Obstruction, Riot, etc.): What does it say?","To (name, description and address). Whereas it has been made to appear to me that you are in possession (or have the management) of (describe clearly the property), and that, in digging a drain on the said land, you are about to throw or place a portion of the earth and stones dug up upon the adjoining public road, so as to occasion risk of obstruction to persons using the road; or Whereas, it has been made to appear to me that you and a number of other persons (mention the class of persons) are about to meet and proceed in a religious procession along with public street, etc. (as the case may be), and that such procession in likely to lead to a riot or an affray; or Whereas, etc., etc. (as the case may be); I do hereby order you not to place or permit to be placed any of the earth or stones dug from land on any part of the said road; or I do hereby prohibit the procession passing along the said street, and strictly warn and enjoin you not to take any part in such procession (or as the case recited may require). Given under my hand and the seal of the Court, this day of ,19 . (Seal) (Signature)"
"What is stated in Section 22 of Chapter XXXV of Code of Criminal Procedure, 1912 (Magistrate's Order declaring Party entitled to retain Possession of Land, etc., in Dispute)?","It appearing to me on the grounds duly recorded, that a dispute, likely to induce a breach of peace, existed between (describe the parties by name and residence or residence only if the dispute be between bodies of villagers) concerning certain (state concisely the subject of dispute), situate within the local limits of my jurisdiction, all the said parties were called upon to give in a written statement of their respective claims as to the fact of actual possession of the said (the subject of dispute), and being satisfied by due inquiry had thereupon, without reference to the merits of the claim of either of the said parties to legal right of possession, that the claim of actual possession by the said (name or names or description) is true; I do decide and declare that he is (or they are) is possession of the said (the subject of dispute) and entitled to retain such possession until ousted by due course of law, and do strictly forbid any disturbance of his (or their) possession in the meantime. Given under my hand and the seal of the Court, this day of , 19 . (Seal) (Signature) Comments Decision under S. 145(4) and order in Form XXII - Distinction. The decision under subsection (4) of S. 145. Criminal P.C. and an order in Form XXIl of Sch. V of the Code, are two different things. The decision under sub-section (4) of S. 145 is a decision relating to the actual and physical possession of the land in dispute and the order drawn up in Form XXII of Sch. V is a final order which is required to be drawn up not necessarily to embody the decision but to embody the directions of the Magistrate to the parties concerned. Whereas the decision only decides the question of actual physical possession, the order confers a right on the party from disturbing that possession without taking any steps in due course of law."
"What is Section 23 of Chapter XXXV of Code of Criminal Procedure, 1913 (Warrant of Attachment in the Case of a Dispute as to the Possession of Land, etc) about?","To the Police-officer in charge of the Police-station at [or, To the Collector] Whereas it has been made to, appeal to me that a dispute likely to induce a breach of the peace existed between (describe the parties concerned by name and residence, or residence only if the dispute be between bodies of villagers) concerning certain (state concisely the subject of dispute) state within the limits of my Jurisdiction; and the said parties were thereupon duly called upon to state in writing their respective claims as to the fact of actual possession of the said (the subject of dispute), and whereas, upon due inquiry into the said claims, I have decided that neither of the said parties was in possession of the said (the subject of dispute) [or I am unable to satisfy myself as to which of the said parties was in possession as aforesaid]; This is to authorise and require you to attach the said (the subject of dispute) by taking and keeping possession thereof, and to hold the same under attachment until the decree or order of a competent Court determining the rights of the parties, or the claim to possession, shall have been obtained, and to return this warrant with an endorsement certifying the manner of its execution. Given under my hand and the seal of the Court, this day of , 19 (Seal) (Signature)"
"Can you explain Section 24 of Chapter XXXV of Code of Criminal Procedure, 1914 (Magistrate's Order Prohibiting the doing of anything on Land or Water)?","A dispute having arisen concerning the right of use of (state concisely the subject of dispute) situate within the limits of my jurisdiction, the possession of which land (or water) is claimed exclusively by (describe the person or persons), and it appearing to me, on due inquiry into the same, that the said land (or water) has been open to the enjoyment of such use by the public (or if by an individual or a class of persons, describe him or them) and (if the use can be enjoyed throughout the year) that the said use has been enjoyed within three months of the institution of the said inquiry (or if the use is enjoyable only at particular seasons, say ""during the last of the seasons at which the same is capable of being enjoyed""); I do order that the said (the claimant or claimants of possession), or any one in their interest, shall not take (of retain) possession of the said land (or water) to the exclusion of the enjoyment of the right of use aforesaid, until he (or they) shall obtain the decree or order of a competent Court adjudging him (or them) to be entitled to exclusive possession. Given under my hand and sea! of the Court, this day of 19 . (Seal) (Signature)"
"Can you explain Section 25 of Chapter XXXV of Code of Criminal Procedure, 1915 (Bond and Bail-bond on a Preliminary Inquiry before a Police Officer)?","I (name), of , being charged with offence of and after inquiry required to appear before the Magistrate of or and after inquiry called upon to enter into my own recognizance to appear when required, do hereby bind myself to appear at ,in the Court of , on the day, of next (or on such day as I may hereafter be required to attend) to answer further to the said charge, and in case of my making default herein, I bind myself to forfeit to Government the sum of rupees .. Dated this day of ,19. (Signature)"
"Can you explain Section 26 of Chapter XXXV of Code of Criminal Procedure, 1916 (Bond to prosecute or give Evidence)?","I (name), of (place), do hereby bind myself to attend at , in the Court of , at O'clock on the day of next and then and there to prosecute (or to prosecute and give evidence) (or to give evidence) in the matter of a charge of against one A,B and in case of making default herein, I bind myself to forfeit to Government, the sum of rupees .. Dated this day of ,19 . (Signature)"
"Please explain Section 1 of Chapter XXXV of Code of Criminal Procedure, 1917 (Charges with one head).","(a) I, (name and office of Magistrate, etc.) hereby charge you (name of accused person) as follows:-- (b) that you, on or about the day of at waged war against Pakistan , and thereby committed an offence punishable under Section 121 of the Pakistan Penal Code, and within the cognizance of the Court of Session (when the accused is to be tried by the High Court in the exercise of its original Criminal jurisdiction), (for Court of Session substitute High Court). On penal Code Section 121. (c) And I hereby direct that you be tried by the said Court on the said charge. [Signature and seal of the Magistrate] [To be substituted for (b)]:-- (2) That you, on or about the day of at , with the intention of inducing the President of Pakistan to refrain from exercising a lawful power as such [President], assaulted him, and thereby committed an offence punishable under Section 124 of the Pakistan Penal Code. and within the cognizance of the Court of Session [or High Court], On Section 124. (3) That you, being a public servant in the Department, directly accepted from (state the name), for another party [state the name] a gratification other than legal remuneration, as a motive forbearing to do an official act, and thereby committed an offence punishable under Section 161 of the Pakistan Penal Code, and within the cognizance of the Court of Session [or High Court]. On Section 161. (4) that you, on or about the day of at , did (or omitted to do, as the case may be) , such conduct being contrary to the provisions of Act section , and known by you to be prejudicial to and thereby committed an offence punishable under Section 166 of the Pakistan Penal Code and within the cognizance or the Court of Session [or High Court]. On Section 166. (5) That you on or about the day of at in the course of the trial of before, stated in evidence that which statement you either knew or believed to be false, or did not believe to be true, and thereby committed an offence punishable under Section 193 of the Pakistan Penal Code, and within the cognizance of the Court of Session [or High Court]. On Section 193. (6) That you, on or about the day of at , committed culpable homicide not amounting, to murder, causing the death of and thereby committed an offence punishable under Section 304 of the Pakistan Penal Code, and within the cognizance of the Court of Session [or High Court]. On Section 304. (7) That you, on or about the day of at abetted the commission of suicide by A,B, a person in a state of intoxication, and thereby committed an offence the Court of Session [or High Court]. On Section 306 (8) That you on or about the , day of , at voluntarily caused grievous hurt to , and thereby committed an offence punishable under Section 325 of the Pakistan Penal Code, and within the cognizance of the Court of Session (or High Court], On Section 325. (9) That you, on or about the day of at robbed [state the name], and thereby committed an offence punishable under Section 392 of the Pakistan Penal Code, and; within the cognizance of the Court of Session [or High Court]. On Section 392. (10) That you, on or about the day of at , committed dacoity, an offence punishable under Section 395 of the Pakistan Penal Code, and within the cognizance of the Court of Session (or High Court). On section 395. : (a) I, [name and office of Magistrate, etc.] hereby charge you [name of accused person] as follows:- . (b) First.----That you on or about the day of at , knowing a coin to be counterfeit delivered the same to another person, by name A.B., as genuine, and thereby committed an offence punishable under Section 241 of the Pakistan Penal Code, and within the, cognizance of the Court of Session [or High Court]. On Section 241. Secondly--- That you on or about the day of at , knowing a coin to be counterfeit, attempted to induce another person, by name A.B., to receive it as genuine, and thereby committed an offence punishable under Section 341 of the Pakistan Penal Code, and within the cognizance of the Court of Session (or High Court]. (c) And I hereby direct that you be tried by the said Court on the said charge. [Signature and seal of the Magistrate] [ To be substituted for (b) ]: - [2) First. That you on or about the day of at , committed murder by causing the death of , and thereby committed an offence punishable under Section 302 of the Pakistan Penal Code and within the cognizance of the Court of Session [or High Court]. On Section 302. [In cases tried by Magistrate substitute within my cognizance for within the cognizance of the Court of Session, and in omit """"by the said Court]. Secondly That you on or about the day of at , by causing the death of committed culpable homicide not amounting the murder, and thereby committed an offence punishable under Section 304 of the Pakistan Penal Code, and within the cognizance of the Court of Session [or High Court]. (3)First ----That you, on or about the day of at committed theft, and thereby committed an offence punishable under Section 379 of the Pakistan Penal Code and within the cognizance of the Court of Session [or High Court]. On Section 379 & 382. Secondly That you, on or about the day of , at , committed theft having made preparation for causing death to a person in order to the committing of such theft, and thereby committed an offence punishable under Section 382 of the Pakistan, Penal Code and within the cognizance of the Court of Session [or High Court ]. Thirdly That you, on or about the day of , at , committed theft having made preparation for causing restraint to a person in order to the effecting of your escape after the committing of such theft, and thereby committed an offence punishable under Section 382 of the Pakistan Penal Code, and within the cognizance of the Court of Session [or High Court.] . Fourthly.That you, on or about the day of , at , committed theft, having made preparation for causing fear of hurt to a person in order to the retaining of property taken by such theft and thereby committed an offence punishable under Section 382 of the Pakistan Penal Code, and within the cognizance of the Court of Session [or High Court]. (4) That you, on or about the day of , at , in the course of the inquiry into before stated in evidence that"""" """" and that you, on at about the , day of , at in the course of the trial, of , before stated in the evidence that """" """", one of which statements you either knew or believed to be false, or did not believe to be true, and thereby committed an offence punishable under Section 193 of the Pakistan Penal Code, and within the cognizance of the Court of Session [or High Court]. Alternative Charge. On Section 193. [In cases tried by Magistrates substitute """"within my cognizance"""" for """"within the cognizance of the Court of Session"""" and in (c) omit """"by the said Court""""]"
"Give a brief explanation of Section 3 of Chapter XXXV in Code of Criminal Procedure, 1918 (Charges for Theft after previous Conviction).","I, [name and office of Magistrate, etc.] hereby charge you (name of accused person) as follows: That you, on or about the day of at , committed theft, and thereby committed an offence punishable under Section 379 of the Pakistan Penal Code and within the cognizance of the Court of Magistrate, Session [or High Court] as the case may be. And you, the said (name or accused, stand further charged that you, before the committing of the said offence, that is to say on the day of , had been, convicted by the (state Court by which conviction was had) at of an offence punishable under Chapter XVII of the Pakistan Penal Code, with imprisonment for a term of three years, that is to say, the offence of house breaking by night (describe the offence in the words used in the section under which the accused was convicted), which conviction is still in force and effect, and that you are thereby liable to enhanced punishment under Section 75 of the Pakistan Penal Code. And I hereby direct that you be tried, etc."
"What is stated in Section 29 of Chapter XXXV of Code of Criminal Procedure, 1919 (Warrant Commitment on a Sentence of Imprisonment or fine if passed by a Magistrate)?","To the Superintendent [or Keeper) of the Jail at .. Whereas on the day of , 19 (name of prisoner) the (1st, 2nd, 3rd, as the case may be) prisoner in case No. of the Calendar for 19, was convicted before me (name official designation) of the offence of (mention the offence or offences, concisely) under section (or sections) of the Pakistan. Penal Code (or of Act) was sentenced to (state the punishment fully and distinctly). This is to authorize and require you, the said Superintendent (or Keeper), to receive the said prisoner's name) into your custody in the said Jail, together with this warrant, and there carry the aforesaid sentence into execution according to law. Given under my hand and the seal of the Court, this day of 19 . (Seal) (Signature)"
"What does Section 30 of Code of Criminal Procedure, 1920 (Warrant of Imprisonment on Failure to recover Amends by Attachment and Sale) deal with?","To the Superintendent (or Keeper) of the Jail at . Whereas (name and description) has brought against (name and description of the accused person) the complaint that (mention it concisely) and the same has been dismissed as false and frivolous (or vexatious), and the order of dismissal awards payment by the said (name of complainant) of the sum of rupees as amends, and whereas the said sum has not been paid and an order has been made for his simple imprisonment in Jail for the period of days, unless the aforesaid sum be sooner paid; This is to authorize, and require you, the said Superintendent (or Keeper), to receive the said (name) into your custody, together with the warrant, and him safely to keep in the said Jail for the said period of (term of imprisonment), subject to the provisions of Section 69 of the Pakistan Penal Code, unless the said sum be sooner paid, and on the receipt thereof, forthwith to set him at liberty, returning this warrant with an endorsement Certifying the manner of its execution. Given under my hand and the seal of the Court, this day of 19 (Seal) (Signature)"
"Could you describe the contents of Section 31 from Code of Criminal Procedure, 1921 (Summons of Witness)?","To of Whereas complaint has been made before me that of has (or is suspected to have) committed the offence of (state the offence concisely with time and place) and it appears to me that you are likely to owe material evidence for the prosecution; You are hereby summoned to appear before this Court on the day of next at ten O'clock in the forenoon, to testify what you know concerning the matter of the said complaint, and not to depart thence without leave of the Court; and you are hereby warned that, if you shall without just excuse neglect or refuse to appear on the said date a warrant will be issued to compel your attendance. Given under my hand and the seal of the Court this day of ,19 . (Seal) (Signature)"
"Section 34 of Chapter XXXV in Code of Criminal Procedure, 1922 (Warrant of Commitment under Sentence of Death): What does it say?","To the Superintendent (or Keeper) of the Jail at . Whereas at the Session held before me on the day of 19 (name of prisoner), the (1st, 2nd, 3rd as the case may be), prisoner in case No. of the Calendar at the said Session, was duly convicted of the offence of culpable homicide amounting to murder under section of the Pakistan Penal Code, and sentenced to suffer death, subject to the confirmation of the said sentence by the Court of This is to, authorise and require you the said Superintendent (or Keeper), to receive the said (prisoners name) into your custody in the said Jail, together with this warrant, and him there safely to keep until you shall receive the further warrant or order of this Court, carrying into effect the order of the said Court. Given under my hand and the seal of the Court, this, day of ,19 . (Seal) (Signature)"
"What is stated in Section 35 of Chapter XXXV of Code of Criminal Procedure, 1923 (Warrant of Execution on a Sentence of Death)?","To the Superintendent (or Keeper) of the Jail at .. Whereas (name of prisoner, the 1st, 2nd. 3rd, as the case may be) prisoner in case No. of the Calendar at the Session held before me on the day of ,19, has been by a warrant of this Court, dated the day has been by a warrant of this Court. dated the day of , committed to your custody under sentence of death; and Whereas the order of the Court of confirming the said sentence has been received by this Court; This is to authorise and require you, the said Superintendent (or Keeper), to carry the said sentence into execution by causing the said to be hanged by the neck until he be dead, at (time and place of execution), and to return this warrant to the Court with an endorsement certifying that the sentence has been executed. Given under my hand and the seal of the Court, this day of ,191. (Seal) (Signature)"
"Can you explain Section 36 of Chapter XXXV of Code of Criminal Procedure, 1924 (Warrant after a Commutation of a Sentence)?","To the Superintendent (or Keeper) of the Jail at Whereas at a Session held on the day of , 19 , (name of prisoner), the (1st, 2nd, 3rd, as the case may be) prisoner in case No. of the Calendar at the said Session, was convicted of the offence of punishable under section of the Pakistan Penal Code, and sentenced to and was thereupon committed to your custody and whereas by the order of the Court of (a duplicate of which is hereunto annexed) the punishment adjudged by the said sentence has been commuted to the punishment of transportation for life (or as the case may be); This is to authorize and require you, the said Superintendent (or Keeper), safely to keep the said prisoner's name) in your custody in the said Jail, as by law is required, until he shall be delivered over by you to the proper authority and custody for the purpose of his undergoing the punishment of transportation under the said order. or If the mitigated sentence is one of imprisonment, say, after the words, ""custody in the said Jail"", ""and there to carry into execution the punishment of imprisonment under the said order according to law"". Given under my hand and the seal of the Court, this day Of 19 . (Seal) (Signature)"
"What does Section 37 of Code of Criminal Procedure, 1925 (Warrant to levy a Fine by Attachment and Sale) deal with?","to (name and designation of the Police-officer or other person or persons who is or are to execute the warrant). WHEREAS (name and description of the offender) was on the day of 19 ,convicted before me of the offence of (mention the offence concisely)and sentenced to pay a fine of rupees and whereas the said (name), although required to pay the said fine, has not paid the same or any part thereof; This is to authorize and require to attach any movable property belonging to the said (name) which may be found within the district of ; and, if within (state the number of days or hours allowed) next after such attachment the said sum shall not be paid (or forthwith), to sell the movable property attached, or so much thereof as shall be sufficient to satisfy the said fine, returning this Warrant, with an endorsement certifying what you have done under it, immediately upon its execution. Given under my hand and the seal of Court, this day of , 19 . (Sea/) (Signature)"
"Can you explain Section 37 of Chapter XXXV of Code of Criminal Procedure, 1926 (Bond for appearance of offender released pending realisation of fine)?","WHEREAS (name), inhabitant of (place), have been sentenced to pay a fine of rupees and in default of payment thereof to undergo imprisonment for ; and whereas the Court has been pleased to order my release on condition of my executing a bond for my appearance on the following date (or dates) namely:-- I hereby bind myself to appear before the Court of at O'clock [on the following date (or dates) namely: ], and in Case of making default herein, I bind myself to forfeit to Government, the sum of rupees. Dated this day of , 19 . (Signature) Where a bond with sureties is to be executed, add-- We do hereby declare ourselves sureties for the above named that he will appear before the Court of on the following date (or dates), namely and, in case of his making default therein, we bind ourselves jointly and severally to forfeit to Government the sum of rupees (Signature)"
"Can you explain Section 38 of Chapter XXXV of Code of Criminal Procedure, 1927 (Warrant of Commitment in certain cases of Contempt when a Fine is imposed)?","To the Superintendent (or Keeper) of the Jail at: .. WHEREAS a Court held before me on this day (name and description of the offender) in the presence (or view) of the Court committed wilful contempt; And Whereas for such contempt the said (name of offender) has been adjudged by the Court to pay a fine of rupees on in default to suffer simple imprisonment for the space of (state the number of months or days); This is to authorize and require you, the Superintendent (or Keeper) of the said Jail, to receive this said (name of offender into your custody), together with this warrant and him safely to keep in the said Jail for the said period of (term of imprisonment), unless the said fine be sooner paid; and, on the receipt thereof, forthwith to set him at liberty, returning this warrant with an endorsement certifying the manner of its execution. Given under my hand and the seal of the Court, this day of ,19, (Seal) (Signature)"
"Section 39 of Chapter XXXV in Code of Criminal Procedure, 1928 (Magistrate's or Judge's Warrant of Commitment of witness refusing to answe): What does it say?","To (name of description of officer of Court) WHEREAS (name and description), being summoned (or brought before this Court) as a witness and this day required to give evidence on an inquiry into an alleged offence refused to answer a certain question (or certain questions) put to him touching, this said alleged offence, and duly recorded, without alleging any just excuse for such refusal, and for his contempt has been adjudged detention in custody for (term of detention adjudged). This is to authorize and require you, to take the said (name) into custody, and him safely to keep in your custody for the space of days, unless in the meantime he shall consent to be examined and to answer the questions asked of him, and on the last of the said days, or forthwith on such consent being known, to bring him before this Court to be dealt with according to law, returning this warrant with an endorsement certifying the manner of its execution. Given under my hand and the seal of the Court, this day of ,19 (Seal) (Signature)"
"Give a brief explanation of Section 43 of Chapter XXXV in Code of Criminal Procedure, 1929 (Warrant to discharge a Person Imprisoned on Failure to give Security).","To the Superintendent (or Keeper) of the Jail at (or other officer in whose custody the person is) WHEREAS (name and description of prisoner) was committed to your custody under warrant of this Court, dated the day of and has since with his surety (or sureties) duly executed a bond under Section 499 of the Code of Criminal Procedure; This is to authorize and require you forthwith to discharge the said (name) from your custody, unless he is liable to be detained for some other matter. Given under my hand and the seal of the Court, this day of 19 . (Seal) (Signature)"
"Give a brief explanation of Section 44 of Chapter XXXV in Code of Criminal Procedure, 1930 (Warrant of Attachment to enforce a Bond).","To the Police-officer Incharge of the Police-station at . WHEREAS (name description and address of person) has failed to appear on (mention the occasion) pursuant to his recognizance, and has by such default forfeited to Government the sum of rupees (the penalty in the bond); and whereas the said (name of person) has on due notice to him, failed to pay the said sum or show any sufficient cause why payment should not be enforced against him; This is to authorize and require you to attach any movable property of the said (name) that you may find within the district of , by seizure and detention; and, if the said amount be not paid within three days, to sell the property so attached or so much of it as may be sufficient to realise the amount aforesaid, and to make return or what you have done under this warrant immediately upon its execution Given under my hand and the seal of the Court, this day of 19 . (Seal) (Signature)"
"What is stated in Section 45 of Chapter XXXV of Code of Criminal Procedure, 1931 (Notice to Surety on Breach of a Bond)?","To of Whereas on the day of , 19 , you became surety for (name) of (place) that he should appear before this Court on the day of and bound yourself in default thereof to forfeit the sum of rupees to Government and whereas the said (name) has failed to appear before this Court and by reason of such default you have forfeited the aforesaid sum of rupees. You are hereby required to pay the said penalty or show cause, within days from this date, why payment of the said sum should not be enforced against you. Given under my hand and the seal of the Court, this day of ,19 . (Seal) (Signature)"
"Section 46 of Chapter XXXV in Code of Criminal Procedure, 1932 (Notice to Surety of Forfeiture of Bond of Good Behaviour): What does it say?","To WHEREAS on the day of ,19, you became surety by a bond or (name) of (place) that he would be of good behaviour for the period of and bound yourself in default thereof to forfeit the sum of rupees to Government and whereas the said (name) has been convicted of the offence of (mention the offence concisely) committed since you became such surety, whereby your security bond has become forfeited; Your are hereby required to pay the said penalty of rupees or to show cause within days why it should not be paid. Given under my hand and the seal of the Court, this day of , 19 . (Seal) (Signature)"
